Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIP_SCORE_Score
000000351609.jpg,"A bowl of peeled mandarins sits on a kitchen counter, with a wooden spoon and a black wire cooling rack visible in the background.",0.0149,0.2162,0.374,0.3354
000000402334.jpg,"The image depicts a tall, red brick church with a prominent steeple topped by a cross, set against a clear blue sky with wispy clouds.",0.0064,0.3404,0.2978,0.3513
000000006818.jpg,"The image depicts a small, utilitarian bathroom with white tiled walls and a gray tiled floor. A white shower head is mounted on the wall, and there's a large white pipe running vertically along the left side. The floor features a small, oval-shaped toilet bowl. Two buckets, one green and one red, are placed on the floor. A window with black shutters is visible in the upper right corner. The overall appearance is clean and functional, with a mix of white and gray tones.",0.0,0.25,0.233,0.3608
000000502910.jpg,"The image shows a street sign in German with an orange arrow pointing to the right, indicating ""Wegomlegging"" (road closure). The sign is mounted on a metal pole with a concrete base, situated on a gray brick sidewalk. In the background, there's a dark green building with a door that has a blue and white sticker depicting a tow truck and a car.",0.0,0.186,0.4249,0.3477
000000467176.jpg,"A group of five people is gathered in a living room, playing a tennis video game on a large flat-screen TV. The room has white walls and a beige carpet, with a bookshelf and coffee table visible. Two men and three women are holding Wii remotes, focused on the game.",0.0,0.1053,0.5428,0.4124
000000205105.jpg,"A woman is playing tennis at night on a blue court, wearing a green shirt, gray shorts, and a tan hat, with her arms raised to hit a ball.",0.0025,0.225,0.3501,0.3359
000000052591.jpg,"A smiling woman in vintage skiing attire stands on a snowy hill, holding ski poles and leaning against her skis, with pine trees and a cloudy sky in the background.",0.0013,0.0526,0.3997,0.3833
000000066038.jpg,"A lively beach scene with colorful umbrellas, loungers, and people enjoying the sun, set against a backdrop of a modern building and lush greenery.",0.0026,0.2909,0.2083,0.3091
000000286908.jpg,"The image showcases a variety of Asian dishes, including rice, noodles, and fish, presented in an appetizing and colorful arrangement.",0.0172,0.1613,0.32,0.2744
000000144932.jpg,"A small tugboat with a yellow hull and black bottom is pulling a greenish-blue barge through a calm, grayish-blue body of water on a cloudy day, with a distant shoreline of trees and buildings visible.",0.0002,0.0435,0.3837,0.3455
000000261161.jpg,"A happy, multicolored dog sits on a park bench, looking directly at the camera with a joyful expression.",0.098,0.1026,0.3948,0.322
000000512194.jpg,"A charming white ceramic pitcher with a black handle and a painted scene of a woman in a bonnet and apron holding a flower, sits on a windowsill filled with a vibrant bouquet of yellow, orange, and pink flowers, set against a backdrop of blurred green and yellow foliage.",0.0,0.1538,0.2308,0.2886
000000507473.jpg,A young woman with curly brown hair and black glasses is brushing her teeth while taking a selfie with a green camera in a bathroom with white tiled walls and a blue and white checkered curtain.,0.0002,0.2041,0.7033,0.3616
000000232538.jpg,"A sleek blue and yellow train with red doors is parked at a station, featuring a distinctive pink and white wave design along its side. The station building has a white roof and blue base, with a tall smokestack visible in the background. A red bench sits on the platform, and a parking lot with cars can be seen nearby. The scene is set against a clear blue sky with scattered white clouds, creating a picturesque view of the train station.",0.0,0.0816,0.3341,0.3096
000000383289.jpg,"A security guard is riding a Segway on a brick ledge, wearing a helmet and sunglasses, with a cell phone to his ear.",0.1691,0.1395,0.3988,0.334
000000038825.jpg,"Two zebras are grazing on a lush green field, their distinctive black and white stripes contrasting beautifully against the vibrant grass.",0.1173,0.2564,0.4778,0.3196
000000256192.jpg,"A bright yellow police motorcycle with blue and black accents is parked on a street, facing left, with a crowd of people gathered behind a metal fence, watching the scene.",0.0406,0.0937,0.6126,0.3362
000000306893.jpg,"A bustling city street scene featuring a red and white tram, parked on the sidewalk, with a yellow building in the background and a pedestrian bridge overhead.",0.0146,0.1951,0.3941,0.2854
000000356261.jpg,"A light brown pony with a darker mane and tail stands on a grassy hillside, its head lowered to graze on yellow flowers. The pony is equipped with a brown saddle and bridle. In the background, a small waterfall cascades down a rocky cliff into a stream, surrounded by lush greenery and purple flowers. A large, dark brown mountain looms in the distance, completing the picturesque landscape.",0.0,0.2,0.1902,0.3604
000000040757.jpg,"A young blonde boy is peacefully sleeping in his crib, wearing a white tank top and a blue pacifier, with a floral blanket and a checkered pillow covering him.",0.0016,0.2051,0.3747,0.3394
000000063047.jpg,"A man with short brown hair and a beard stands in front of a building with a green roof, holding a brown paper bag and a cup of coffee. He's wearing a red shirt with a white design, a green and blue striped shirt, and black glasses. The building behind him has a sign that reads ""Walters"" and is surrounded by trees.",0.0,0.3137,0.2793,0.2961
000000502168.jpg,"The image depicts a group of men standing on a large ship, likely an aircraft carrier, with a runway visible. The men are wearing hard hats and safety vests, suggesting they are part of a crew or work team. The scene is set on a calm ocean with other ships visible in the distance, indicating a naval or maritime environment.",0.0,0.0882,0.4203,0.251
000000210502.jpg,"A sleek silver train with a red stripe at the top is parked on tracks, featuring a distinctive black and white striped door with an oval window.",0.0338,0.1622,0.5679,0.3564
000000232088.jpg,"The image depicts a cozy living room with a white sectional couch, a large flat-screen TV on a black stand, and a window with a white air conditioner and red curtains. The room has white walls and a light brown carpet, with various personal items and decorations scattered throughout, creating a warm and inviting atmosphere.",0.0,0.3077,0.2942,0.3147
000000095899.jpg,"The image depicts a construction site with two prominent signs in the foreground: a red stop sign on the left and a blue street sign for Fort York Boulevard on the right. In the background, two large orange cranes are visible against a clear blue sky, indicating ongoing construction work.",0.0,0.1519,0.538,0.3843
000000416451.jpg,"Two men are playing Wii in a living room, with one on an exercise bike and the other on a couch, both smiling and laughing as they engage in the game.",0.0021,0.2927,0.4093,0.3914
000000549738.jpg,"A vibrant, multicolored dragon kite soars high above a quaint town, its intricate design and rainbow hues contrasting beautifully against the cloudy sky.",0.0338,0.1818,0.3049,0.3345
000000502732.jpg,"A sleek, stainless steel side-by-side refrigerator with a black ice and water dispenser stands prominently in a modern kitchen, reflecting the white tile floor and surrounded by dark brown cabinets and a black countertop.",0.0001,0.087,0.3439,0.3188
000000474164.jpg,"A large, shaggy dog with a mix of black, brown, and white fur is sitting on the roof of a brown pickup truck, looking directly at the camera with a calm expression.",0.0012,0.1538,0.4509,0.3059
000000389316.jpg,"Two elephants are standing in a zoo enclosure, with one feeding from a bowl held by a zookeeper.",0.2265,0.1143,0.441,0.3186
000000526728.jpg,"An older couple stands on a city sidewalk in front of a brick building with a wooden door, surrounded by their luggage, suggesting they have just arrived or are about to depart.",0.0008,0.3,0.4692,0.3684
000000435205.jpg,"A pregnant woman is lying on her back, holding a teddy bear in one hand and drawing tally marks on her belly with a black pen in the other hand.",0.0266,0.2424,0.5335,0.342
000000312237.jpg,"A bustling beach scene with people enjoying the water and sand, set against a backdrop of mountains and a clear blue sky.",0.0475,0.3889,0.3612,0.3181
000000431727.jpg,"Two black bears are perched in a snow-covered tree, with one bear looking directly at the camera while the other gazes away.",0.05,0.2115,0.4563,0.366
000000226883.jpg,"A rustic wooden shed with a tin roof stands in a backyard, surrounded by lush greenery and a few trees. A horse grazes peacefully in the grass, while a blue tarp and garden hose lie nearby.",0.0004,0.2105,0.4056,0.3364
000000164969.jpg,"A freshly baked pizza with a golden-brown crust and a variety of toppings, including cheese, green peppers, and possibly mushrooms, sits in an open cardboard box on a light brown table.",0.0019,0.2162,0.5353,0.3789
000000569059.jpg,"A cozy home office setup featuring a wooden desk with a computer monitor, keyboard, and mouse, surrounded by personal touches like framed photos, a lamp, and a small plant.",0.0214,0.1739,0.436,0.2988
000000186980.jpg,"The image depicts a cozy, rustic kitchen and dining area with wooden floors, cabinets, and walls. A small wooden table is set for two with plates, silverware, and candles, accompanied by two wooden chairs with white cushions. A white refrigerator stands to the left, while a sink and countertop are visible in the background. A chandelier with candles hangs above, adding to the warm ambiance.",0.0,0.1923,0.2581,0.3525
000000180383.jpg,"The image depicts a large, brown cow statue with a TV screen embedded in its side, displaying a news broadcast. The statue is adorned with various farm-themed illustrations, including a tractor, barn, and farmer. It stands on a wooden shelf against a backdrop of wallpaper featuring farm scenes. A clock is visible in the bottom left corner, and the ceiling is made of wooden planks.",0.0,0.1463,0.2397,0.3513
000000545407.jpg,"A large Allegiant Airlines passenger jet is soaring through a clear, light blue sky, showcasing its distinctive white fuselage, blue tail, and colorful logo.",0.0134,0.1081,0.3006,0.3679
000000122217.jpg,"Two skateboarders are descending a steep, curved street at night, with one wearing a green shirt and the other in a gray shirt, both crouched low as they navigate the challenging slope.",0.0,0.1951,0.3495,0.3442
000000005600.jpg,"The image shows a plate with two small metal bowls containing different foods, likely at a restaurant setting.",0.0992,0.2927,0.2189,0.2766
000000297396.jpg,"A plate of chocolate cake with white frosting and sprinkles is displayed on a white tablecloth with a red stripe, set against a yellow wall with a window in the background.",0.0005,0.2083,0.4962,0.2959
000000386277.jpg,"A vibrant yellow lemon hangs from a tree branch, surrounded by lush green leaves, creating a striking contrast against the blurred background.",0.0625,0.2642,0.4224,0.3201
000000523241.jpg,"A bustling urban street scene with a prominent yellow pole displaying traffic signs, including ""Walk with Care"" and ""Do Not Cross,"" amidst various vehicles and buildings under an overcast sky.",0.0004,0.3415,0.1802,0.2969
000000464824.jpg,"A man in a striped shirt and brown hat is bending over to fix a leaking water spigot on a wet sidewalk, with a black car and a trash can visible in the background.",0.0011,0.1538,0.4229,0.3047
000000032570.jpg,"A surfer is riding a massive wave, crouched low on their board and navigating through the curling water.",0.0305,0.2778,0.2525,0.314
000000237928.jpg,"The image depicts a modern kitchen with white cabinets, a black countertop, and a stainless steel refrigerator. A red kettle and microwave are visible on the counter, along with a red oven mitt hanging from the oven handle.",0.0,0.1633,0.4178,0.3291
000000439525.jpg,"A couple is cutting a white cake on a wooden table, with wine bottles and barrels in the background, suggesting a celebratory event in a rustic setting.",0.0111,0.1622,0.3158,0.3765
000000206579.jpg,"A man in a black shirt and glasses is leaning over a white table with a red border, blowing out candles on a square cake with a brown base and white frosting.",0.0012,0.1951,0.5617,0.3533
000000267434.jpg,"A group of seven cows stands in a grassy field, with a stone house and trees visible in the background.",0.1631,0.3415,0.5487,0.3018
000000050006.jpg,"A picturesque lakeside scene featuring a marina with various boats, a prominent white building with a red roof, and a backdrop of mountains under a cloudy sky.",0.0001,0.2254,0.1307,0.3271
000000188906.jpg,"A delectable dessert featuring a banana slice, caramelized banana bread, and a sprinkle of powdered sugar, garnished with a small green leaf.",0.0237,0.2581,0.2232,0.2759
000000250758.jpg,"Two zebras are in a grassy field, with one standing and one lying down, surrounded by trees and a fence.",0.0232,0.2692,0.2344,0.3352
000000312263.jpg,"This black and white photograph captures the imposing facade of a tall, multi-story brick building, likely an apartment complex or office building, with a prominent clock at its base and numerous windows arranged in a grid pattern.",0.0009,0.4286,0.3193,0.3323
000000446651.jpg,"A man and a young girl are riding a motorcycle together on a city street, both wearing helmets and looking directly at the camera.",0.0572,0.0889,0.7102,0.3523
000000145597.jpg,"A group of five women are enjoying a picnic on a red blanket spread out on the grass, surrounded by various food items and drinks.",0.0412,0.2,0.5281,0.3374
000000122606.jpg,"A white city bus with a blue and green logo is parked on the side of a road, displaying the route number 41 and destination ""Crosstown"" on its digital sign. The bus has the number 4022 on both sides of the sign, and the license plate reads OD6384. The driver, a man with glasses, is visible through the windshield. The scene is set on a sunny day with a clear blue sky, and there are power lines and a telephone pole in the background.",0.0,0.2545,0.274,0.3835
000000417085.jpg,"A serene rural scene featuring a cow and calf standing on a concrete sidewalk, with lush green grass and trees in the background.",0.0419,0.1935,0.3046,0.3342
000000092839.jpg,"A majestic polar bear lounges on a rocky shoreline, its pristine white fur contrasting against the rugged terrain and calm water, embodying the serene beauty of the Arctic wilderness.",0.0072,0.2,0.3747,0.2839
000000533493.jpg,"Three men in black t-shirts are posing together against a blue gradient background, with two on the left hugging and smiling, and one on the right smiling at the camera.",0.001,0.4091,0.4259,0.3196
000000494427.jpg,"A silver Dell Inspiron laptop with a black screen displaying the Inspiron logo and various icons is open on a light brown wooden table, with a clock and additional items visible in the background.",0.0,0.1379,0.3043,0.3577
000000438907.jpg,"A young skateboarder performs a trick mid-air, with a younger boy watching from the ground.",0.1471,0.2041,0.4646,0.2988
000000246436.jpg,"A man is cooking a pizza in a kitchen, using a spatula to spread cheese on a round pizza placed on a silver pan.",0.0232,0.2326,0.307,0.3596
000000060886.jpg,"A group of baseball players in blue jerseys and white pants are huddled together on the field, celebrating a victory.",0.2855,0.2963,0.6006,0.3586
000000291791.jpg,"A vintage military motorcycle, painted in olive green, is parked on a grassy field with a rope barrier behind it. The bike features a black leather seat, a large front light, and a green canvas bag attached to the rear. A white ""M"" with wings and the number ""4837280"" are prominently displayed on the gas tank. Several people, including a man in a brown leather jacket and gray pants, are standing behind the rope barrier, observing the motorcycle.",0.0,0.2667,0.1961,0.3374
000000294163.jpg,"A tall, illuminated clock tower stands against a clear blue sky, with a flagpole and bare tree branches visible in the foreground.",0.1727,0.2105,0.5146,0.3267
000000350405.jpg,"A snowboarder in a white jacket and black pants is captured mid-descent on a snowy slope, with another snowboarder visible in the background.",0.0137,0.1714,0.538,0.3486
000000456662.jpg,"A young blonde girl stands in a kitchen, smiling at the camera. She's wearing a white t-shirt with a pink horse design, plaid shorts, and black sandals. Behind her is a white refrigerator with various papers and photos attached. The kitchen has wooden paneling on the lower half of the walls and a wooden floor. To the right, there's a white countertop with a brown drawer and a green broomstick leaning against the wall.",0.0,0.1579,0.387,0.3447
000000286708.jpg,"A black and white cat wearing a pink beanie with a pom-pom sits on a green carpet, looking directly at the camera with striking yellow eyes.",0.0176,0.1333,0.5797,0.3274
000000005477.jpg,"A golden Polish LOT Airlines passenger jet is parked on a runway, with its distinctive logo and Polish text visible, set against a cloudy sky and other aircraft in the background.",0.0002,0.2593,0.3612,0.3101
000000486573.jpg,"A clear glass vase filled with water holds four delicate white flowers with yellow centers, positioned on a white windowsill. Through the window, a lush green forest with a prominent tree trunk is visible, creating a serene natural backdrop.",0.0,0.2162,0.3841,0.342
000000369675.jpg,"The image depicts a vintage red and white train with a brown roof, numbered 120, parked at a station with a white awning. The train has multiple cars, with passengers visible through the windows. The scene is set against a backdrop of a stone building and a gray-roofed structure, with a clear blue sky above.",0.0,0.2857,0.2907,0.3411
000000164115.jpg,"A surfboard is leaning against a wooden fence, with a bicycle and blue milk crate nearby. The scene is set on a sunny day with a clear blue sky, surrounded by palm trees and a stone wall.",0.0,0.1579,0.2119,0.3164
000000113403.jpg,"Three teddy bears are snuggled together on a bed, creating a cozy and heartwarming scene.",0.2257,0.2353,0.4061,0.3491
000000127530.jpg,"A professional tennis player is captured mid-swing, wearing a blue shirt and white shorts, with a Rolex crown logo visible on the green wall behind him.",0.0149,0.2778,0.4172,0.2849
000000384136.jpg,"A woman with short black hair is holding a blue hairdryer with a black cord, appearing to blow air towards the camera. She is wearing a yellow shirt with white sleeves and a black ring on her left hand. The background shows a white door, a mirror, and a black chair.",0.0,0.1,0.303,0.3262
000000419408.jpg,"In a bustling city park, two young men are captured in a moment of skateboarding artistry. One is mid-air, performing a trick on a chain-link fence, while the other sits on a bench, observing the daring maneuver.",0.0,0.1034,0.44,0.2993
000000548524.jpg,"A lone surfer rides a small wave on a calm ocean, with a pier visible in the background.",0.2183,0.1277,0.4307,0.3169
000000187513.jpg,"This image depicts a small, narrow bathroom with green walls, a white ceiling, and a black and white tiled floor. The bathroom features a white toilet, a white sink with a silver faucet, and a white shower with a silver frame. There's a white door with a silver handle, a white light fixture, and a white towel rack. The bathroom also includes a white vent on the ceiling and a white mirror above the sink.",0.0,0.1739,0.4032,0.3438
000000118594.jpg,"A pair of longhorn cattle graze peacefully in a grassy field, with one prominently displaying its impressive curved horns.",0.0287,0.1081,0.1875,0.3308
000000539143.jpg,"A vibrant purple and yellow train is parked at a station, with a rusted bridge visible in the background.",0.2704,0.2105,0.378,0.3345
000000169356.jpg,"A skateboarder is captured mid-air performing a trick on a colorful ramp, surrounded by a white picket fence and lush greenery.",0.0491,0.303,0.3841,0.334
000000494863.jpg,"A red train car with the number 165 and the letters BLS is parked on a track, with a white train car behind it. The scene is set against a backdrop of green trees and a mountain, with a metal guardrail in the foreground.",0.0,0.1875,0.3837,0.3457
000000217753.jpg,"The image displays a vibrant and diverse array of fruits neatly arranged in green plastic containers, showcasing a colorful assortment of apples, oranges, lemons, plums, and possibly pears.",0.0048,0.2308,0.3135,0.3093
000000491213.jpg,"A sleek black motorcycle with silver accents is parked on a brick-paved sidewalk, facing the camera. Behind it, a light blue vintage Mustang is parked on the street, facing the opposite direction. The scene is set in a city with a tall fence and trees lining the background, creating a picturesque urban landscape.",0.0,0.1778,0.4275,0.3386
000000374551.jpg,"A small, round bird with a brownish-orange belly and gray wings perches on a tree branch, facing right with its beak slightly open.",0.0246,0.0784,0.4288,0.3035
000000482477.jpg,"A majestic hawk perches on a weathered tree branch, its piercing yellow eyes and sharp beak gazing intently to the left against a muted gray background.",0.0013,0.1622,0.2776,0.2988
000000521259.jpg,"A group of children and adults are playing frisbee on a dirt field in front of a yellow building, with a blue van parked nearby and trees visible in the background.",0.0168,0.16,0.4224,0.2837
000000134096.jpg,"A calico cat is perched on a bathroom sink, intently gazing at the faucet.",0.7784,0.35,0.5186,0.3899
000000288685.jpg,"A man is leading a group of sheep and a dog in a grassy field, with a crowd of spectators watching from behind a green fence.",0.0259,0.1558,0.36,0.3274
000000094751.jpg,"A bustling coastal city street scene with a metal fence, traffic signs, and a building overlooking the ocean, where people are walking and a car is driving by.",0.0036,0.4,0.372,0.3179
000000293245.jpg,"A sleek black motorcycle is parked on a cracked concrete sidewalk in front of a building with large ""500"" numerals.",0.1079,0.1429,0.5061,0.3477
000000167122.jpg,"A nighttime scene in a parking lot with a dark-colored car in the foreground, illuminated by streetlights, and a building with a lit doorway in the background.",0.0214,0.1918,0.5203,0.2759
000000447187.jpg,"A dynamic baseball game in progress, with a pitcher mid-throw, batter poised to swing, and catcher ready to receive, set against a backdrop of lush green trees and a clear blue sky.",0.0004,0.2222,0.3577,0.2791
000000350002.jpg,"A woman in a white and blue dress sits in a salon chair, her face painted white with dark lipstick, and her hair styled in a voluminous updo. She gazes directly at the camera with a serious expression, her hands resting on her chin. The salon setting is evident from the hair dryer and trash can in the background, along with a window and a shelf.",0.0,0.1031,0.3356,0.2944
000000553664.jpg,"The image depicts a modern workspace with a laptop, headphones, and various accessories on a wooden table, set against a backdrop of bookshelves and a window with the text ""Learn Anywhere.""",0.0002,0.1951,0.1786,0.3042
000000246968.jpg,"A woman is preparing a drink in a cluttered kitchen, surrounded by various bottles, glasses, and kitchen appliances.",0.1096,0.1633,0.4738,0.3298
000000129054.jpg,"A herd of zebras stands in a grassy field, their distinctive black and white stripes contrasting against the green landscape.",0.1001,0.2083,0.6303,0.3103
000000138241.jpg,"A delectable gyro is presented on a white plate with a gold rim, featuring a grilled meat filling, fresh vegetables, and a drizzle of creamy tzatziki sauce, accompanied by two other plates in the background.",0.0001,0.1739,0.2821,0.2795
000000574297.jpg,"A man in a striped shirt and helmet rides a brown horse with a white stripe on its forehead along a dirt path, with a cityscape and trees visible in the background.",0.0019,0.1026,0.3356,0.3125
000000328117.jpg,"A buffet-style display featuring a large stainless steel tray filled with golden-brown Medhu Vada, a popular Indian deep-fried fritter, arranged on parchment paper with tongs for easy serving.",0.0033,0.2,0.2675,0.3147
000000192699.jpg,"A man and woman are posing in a forest, both wearing helmets and riding dirt bikes.",0.442,0.1935,0.2978,0.3669
000000344611.jpg,"A flooded street in Des Plaines with a ""Water on Pavement"" sign and a railroad crossing sign, surrounded by buildings and trees under an overcast sky.",0.0106,0.069,0.2612,0.3506
000000153510.jpg,"A vibrant plate of chicken tikka masala served over white rice, garnished with cashews, broccoli, and red peppers, accompanied by a piece of naan bread.",0.0129,0.3556,0.2188,0.3093
